text,aspect,label
thanks Coursera,thanks Coursera,2
Pretty well designed course,Pretty well designed course,2
"Few things on the test werent covered, but if you read the provided resources you should be fine",the provided resources,2
"Few things on the test werent covered, but if you read the provided resources you should be fine",the test,2
"Few things on the test werent covered, but if you read the provided resources you should be fine",Few things,2
"Few things on the test werent covered, but if you read the provided resources you should be fine",you,2
"Great course, i have feedback about one question and learning item id like to give feedback on",feedback,2
"Great course, i have feedback about one question and learning item id like to give feedback on",item,2
"Great course, i have feedback about one question and learning item id like to give feedback on",one question,2
related to OMNI antennas,OMNI antennas,2
"The course was fine but I never received an email to download mt certificate, I have the password",the password,2
"The course was fine but I never received an email to download mt certificate, I have the password",The course,2
"The course was fine but I never received an email to download mt certificate, I have the password",mt certificate,2
"The course was fine but I never received an email to download mt certificate, I have the password",an email,2
Well presented course material that takes you step by step through the required learning,step,2
Well presented course material that takes you step by step through the required learning,the required learning,2
Well presented course material that takes you step by step through the required learning,course material,2
Well presented course material that takes you step by step through the required learning,that,2
Well presented course material that takes you step by step through the required learning,you,2
Course is easy enough if you have a basic background of installing wireless equipment,Course,2
Course is easy enough if you have a basic background of installing wireless equipment,wireless equipment,2
Course is easy enough if you have a basic background of installing wireless equipment,a basic background,2
Course is easy enough if you have a basic background of installing wireless equipment,you,2
The instructions were clear and concise,The instructions,2
I enjoyed the learning process,the learning process,2
Did a good job at teaching me the material,the material,2
Did a good job at teaching me the material,a good job,2
"Excellent Training, More than enough to pass the test",Excellent Training,2
"Excellent Training, More than enough to pass the test",the test,2
very helpful informative course to get CPI certificate,certificate,2
very helpful informative course to get CPI certificate,very helpful informative course,2
very helpful informative course to get CPI certificate,CPI,2
"Material covered well, and easy to use application",Material,2
"Material covered well, and easy to use application",application,2
Was able to knock it out in a day very good info,a day,2
online learning was great,online learning,2
Excellent course,Excellent course,2
Great course,Great course,2
Great Job,Great Job,2
WOOOO,WOOOO,2
This course is virtually worthless,This course,0
"I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades",the lectures,0
"I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades",a PhD,0
"I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades",almost two decades,0
"I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades",a tenured professor,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",face,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",breakout sessions,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",utter incoherence,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",snippets,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",the result,0
"The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence",The online course,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,mathematical notations,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,the online version,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,extensive use,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,a poor job,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,the course,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,the material,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,formulas,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,The instructor,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,whose variables,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,concepts,0
The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material,that,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",face,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",production value,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",scratch,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",an online version,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",a real online course,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",revenue,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",This online version,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",very little thought,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",the Yale course,0
"This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch",those unsuccessful attempts,0
This was wasted money and time,This,0
This was wasted money and time,money,0
This was wasted money and time,time,0
This attempt to capitalize on the Yale brand is pathetic,This attempt,0
This attempt to capitalize on the Yale brand is pathetic,the Yale brand,0
This course was horrible,This course,0
The Content was very disoriented and unclear,The Content,0
"Videos were distorted, and jumping from one topic to another",Videos,0
"Videos were distorted, and jumping from one topic to another",another,0
"Videos were distorted, and jumping from one topic to another",one topic,0
There was no sense of continuity,no sense,0
There was no sense of continuity,continuity,0
One can not say this was a course from Yale,One,0
One can not say this was a course from Yale,a course,0
One can not say this was a course from Yale,this,0
One can not say this was a course from Yale,Yale,0
Terrible lecturer,Terrible lecturer,0
He can't stay on point,point,0
Lectures are unwatchable - except for the beautiful auditorium stage,the beautiful auditorium stage,0
Lectures are unwatchable - except for the beautiful auditorium stage,Lectures,0
This course was aweful,This course,0
I feel like I didnt learn anything useful,anything,0
The information is very superficial,The information,0
The math that is applied at some points is not well explained,The math,0
The math that is applied at some points is not well explained,that,0
The math that is applied at some points is not well explained,some points,0
The overall course lacks structure and substance,The overall course,0
The overall course lacks structure and substance,structure,0
The overall course lacks structure and substance,substance,0
The quizes were just terrible,The quizes,0
Please dont waste your time with this,this,0
Please dont waste your time with this,your time,0
I was expecting more from the course,the course,0
It is very unstrucuted and even misses a complete table of contents,contents,0
It is very unstrucuted and even misses a complete table of contents,a complete table,0
Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides,this course,0
Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides,at least a copy,0
Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides,some manuscripts,0
However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words,key words,0
However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words,the course,0
However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words,financial topics,0
However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words,a broad overview,0
However the course gives a broad overview of financial topics and probably also mentions most of the concepts of key words,the concepts,0
"Unfortunately, Prof","Unfortunately, Prof",0
Shiller fails to give adequate and precise definitions most of the time,the time,0
Shiller fails to give adequate and precise definitions most of the time,Shiller,0
Shiller fails to give adequate and precise definitions most of the time,adequate and precise definitions,0
They could have been included in the slides to help the students to learn in a more strucured manner,They,0
They could have been included in the slides to help the students to learn in a more strucured manner,a more strucured manner,0
They could have been included in the slides to help the students to learn in a more strucured manner,the students,0
They could have been included in the slides to help the students to learn in a more strucured manner,the slides,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",the best thing,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",which,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",wikipedia,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",Nassim Taleb's works,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",the course,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",combination,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",a lot more understanding,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",this course,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",definitions,0
"Probably the best thing about the course (for me) was that he recommended to read Nassim Taleb's works, which I did, and his books (in combination with reading up on definitions on wikipedia) really offer a lot more understanding than this course",his books,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",things,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",the works,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",anyone,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",this course,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",Nassim Taleb,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",a standard text-book,0
"I would recommended to consult anyone to consult a standard text-book on finance and the works of Nassim Taleb to spice things up, rather than to take this course",finance,0
"The course needs to be more self-explanatory, with real world examples, and not dull",real world examples,0
"The course needs to be more self-explanatory, with real world examples, and not dull",The course,0
This was a terrible course,This,0
This was a terrible course,a terrible course,0
I find the professor is hard to understand because he is so slow in making a point,a point,0
I find the professor is hard to understand because he is so slow in making a point,the professor,0
I have listened to a few lectures and have given up,a few lectures,0
I am going to look for another course,another course,0
Don't waste your time,your time,0
It's unstructured pile of videos recorded from face-to-face teaching,videos,0
It's unstructured pile of videos recorded from face-to-face teaching,face,0
It's unstructured pile of videos recorded from face-to-face teaching,unstructured pile,0
"No explanations, no order, no structure, nothing",no structure,0
"No explanations, no order, no structure, nothing",no order,0
"No explanations, no order, no structure, nothing",No explanations,0
"No explanations, no order, no structure, nothing",nothing,0
too short videos,too short videos,0
As it was highlighted as free course with certification for MOOC,MOOC,0
As it was highlighted as free course with certification for MOOC,free course,0
As it was highlighted as free course with certification for MOOC,certification,0
I haven't received course completion certificate though my course has been fully completed,course completion certificate,0
I haven't received course completion certificate though my course has been fully completed,my course,0
This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19,Coursera,0
This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19,COVID,0
This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19,course completion certification,0
This issue needs to be addressed as why Coursera is not issuing course completion certification as promised  during COVID 19,This issue,0
Such a cheating to all the candidate to enroll for any course,Such a cheating,0
Such a cheating to all the candidate to enroll for any course,all the candidate,0
Such a cheating to all the candidate to enroll for any course,any course,0
This is not acceptable at all,This,0
Not at all legitimate course,Not at all legitimate course,0
"The concepts and principles of the course, instructor are not clear",instructor,0
"The concepts and principles of the course, instructor are not clear",principles,0
"The concepts and principles of the course, instructor are not clear",The concepts,0
"The concepts and principles of the course, instructor are not clear",the course,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,50% value,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,a stock market trader,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,the answer,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,his question,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,loss,0
I'm a stock market trader and in one of his quiz the answer of one his question was stop loss at 50% value down,his quiz,0
According to this very soon you will find yourself at the footpark,the footpark,0
According to this very soon you will find yourself at the footpark,yourself,0
According to this very soon you will find yourself at the footpark,this,0
According to this very soon you will find yourself at the footpark,you,0
More over he's find out to be staying in the history all the time,the history,0
"Honestly, this course could have been a lot better but it was very vaguely put together",this course,0
Definitely not an introductory course,Definitely not an introductory course,0
The structure was pretty much all over the place,The structure,0
The structure was pretty much all over the place,the place,0
I later enrolled in for ISBs course on financial markets and it yielded way better results for me,course,0
I later enrolled in for ISBs course on financial markets and it yielded way better results for me,way better results,0
I later enrolled in for ISBs course on financial markets and it yielded way better results for me,financial markets,0
I later enrolled in for ISBs course on financial markets and it yielded way better results for me,ISBs,0
STRUCTURE BAD,STRUCTURE BAD,0
CONCEPTS RANDOM,CONCEPTS RANDOM,0
TOPICS NOT ADDRESSED IN DETAIL,DETAIL,0
TOPICS NOT ADDRESSED IN DETAIL,TOPICS,0
"waste of time, I could not understand properly the concepts, as he is not going straight to the point",time,0
"waste of time, I could not understand properly the concepts, as he is not going straight to the point",the concepts,0
"waste of time, I could not understand properly the concepts, as he is not going straight to the point",the point,0
so I unenrolled after watching few videos,few videos,0
the pace is extremely monotonous and it makes the course really mundane,the pace,0
the pace is extremely monotonous and it makes the course really mundane,the course,0
"i want to drop this one and take another one instead, but i just cant",this one,0
"i want to drop this one and take another one instead, but i just cant",another one,0
It was very useful course,very useful course,0
This course is very time taking but the best and worth fullBut I'm not getting course certificate,This course,0
use simple language to explain,simple language,0
I prefer a course that teaches the fundamentals of financial markets in an Objective manner,the fundamentals,0
I prefer a course that teaches the fundamentals of financial markets in an Objective manner,financial markets,0
I prefer a course that teaches the fundamentals of financial markets in an Objective manner,an Objective manner,0
I prefer a course that teaches the fundamentals of financial markets in an Objective manner,a course,0
I prefer a course that teaches the fundamentals of financial markets in an Objective manner,that,0
Just watching the first few videos seems like you are pushing some type of personal ideology or agenda,some type,0
Just watching the first few videos seems like you are pushing some type of personal ideology or agenda,the first few videos,0
Just watching the first few videos seems like you are pushing some type of personal ideology or agenda,agenda,0
Just watching the first few videos seems like you are pushing some type of personal ideology or agenda,personal ideology,0
Just watching the first few videos seems like you are pushing some type of personal ideology or agenda,you,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",everyone,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",rather a course,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",your views,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",their money,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",morality,0
"Though it may have good intentions, I personally would rather a course without alluding to your views of morality and how everyone should give away their money",good intentions,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",many generations,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",a family,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",a mattress,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",the economy,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",the contrary,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",philanthropy,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",wealth,0
"On the contrary, I would argue that if wealth is created / preserved/ grown And kept within a family for many generations rather than fully donated to philanthropy, that family will likely not just sit on it under a mattress but it will ""circulate"" through the economy again anyway",that family,0
"For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on",investment houses,0
"For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on",a family wealth portfolio,0
"For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on",a box,0
"For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on",example,0
"For example, if a family wealth portfolio is kept or managed at any one of the big banks or investment houses, it is essentially recirculating since it is not in a box but getting re-invested and so on",the big banks,0
Essentially just numbers in a spreadsheet at that point,Essentially just numbers,0
Essentially just numbers in a spreadsheet at that point,that point,0
Essentially just numbers in a spreadsheet at that point,a spreadsheet,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",but numbers,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",capital gains,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",dividends,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",course,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",a poor family's mortgage,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",the state,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",tax,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",business loan,0
"but numbers that may end up financing a poor family's mortgage, business loan, and of course the tax revenue to the state via tax on capital gains and dividends",that,0
Best regards,Best regards,0
I can't access the quiz 5 and beyond,the quiz,0
"I'd really like to continue, and to complete the quizzes",the quizzes,0
"It says that ""the session will be unlocked when the session begins""",the session,0
"When I click on the quiz it asks me to ""reset my deadlines""",the quiz,0
"When I click on the quiz it asks me to ""reset my deadlines""",my deadlines,0
(The deadline for the quiz is 7 Sep so I have time,The deadline,0
(The deadline for the quiz is 7 Sep so I have time,7 Sep,0
(The deadline for the quiz is 7 Sep so I have time,time,0
(The deadline for the quiz is 7 Sep so I have time,the quiz,0
") When I click on ""reset my deadlines"" the message is ""Something went wrong",the message,0
") When I click on ""reset my deadlines"" the message is ""Something went wrong",Something,0
") When I click on ""reset my deadlines"" the message is ""Something went wrong",my deadlines,0
""" That's been happening for over a week",That,0
""" That's been happening for over a week",over a week,0
I'm losing time,time,0
arrghghghgh,arrghghghgh,0
Any help would be greatly appreciated,Any help,0
Kerry McGovern,Kerry McGovern,0
This couse seems to completely deviate from the main topic,This couse,0
This couse seems to completely deviate from the main topic,the main topic,0
"it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement",the financial market,0
"it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement",multiple companies,0
"it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement",changes,0
"it should include how to read the financial market closely, technical part of it like changes, how to assess multiple companies and track there movement",movement,0
Instead of giving some stories of the Amercan area,some stories,0
Instead of giving some stories of the Amercan area,the Amercan area,0
I am deeply disappointed and it is not at all up to my expectation,my expectation,0
